title,description,symbol,sentiment
Amazon shares pare some gains as Trump attacks company again,WASHINGTON (Reuters) - Shares of online retail giant Amazon.com pared some gains after U.S. President Donald Trump on Tuesday repeated his attack on the company over the cost of its deliveries sent th,AMZN,
Trump says U.S. subsidizes Amazon for shipping,"WASHINGTON, April 3 (Reuters) - President Donald Trump on
Tuesday said the United States is subsidizing Amazon.com Inc
and that the online retailer must pay more to ship its
products through the natio",AMZN,
Amazon shares swing as Trump threatens higher shipping rates,WASHINGTON (Reuters) - Shares of Amazon.com Inc  pared earlier gains on Tuesday after U.S. President Donald Trump repeated his unsubstantiated claim that deliveries for the world's biggest online reta,AMZN,
EU Justice Commissioner held 'constructive' talks with Facebook's Sandberg,"BRUSSELS (Reuters) - European Union Justice Commissioner Vera Jourova said she had a ""constructive and open discussion"" with Facebook Chief Operating Officer Sheryl Sandberg about the Cambridge Analyt",FB,
UPDATE 1-Trump orders review of U.S. Postal Service following criticism of Amazon,"WASHINGTON, April 12 (Reuters) - U.S. President Donald Trump
on Thursday ordered the creation of a task force to study the
U.S. Postal Service and its financial difficulties, after
recently claiming w",AMZN,
Microsoft auditing partner KPMG's anti-piracy work in India after complaint: documents,"NEW DELHI (Reuters) - Microsoft Corp is investigating the methods partner KPMG uses to crack down on the illegal use of its software in India, after a complaint from a senior member of the country's r",MSFT,
US STOCKS-Wall St rallies and Apple approaches $1 trillion value,"* Indexes up: Dow 0.80 pct, S&P 500 0.94 pct, Nasdaq 0.89
pct
(Updates to close)
  
",AAPL,
"Wall St. turns negative on trade worries, oil prices","NEW YORK (Reuters) - Wall Street turned negative in indecisive trade on Thursday, giving up earlier gains as investors grappled with renewed trade worries and rising oil prices.
  
",AAPL,
Jordan Peele is doing a show about Nazi hunters for Amazon,"Amazon Studios is getting into business with ""Get Out"" writer/director Jordan Peele.",AMZN,
"Wall St falls slightly on trade, oil price concerns","(Reuters) - Wall Street ended lower after a choppy trading session on Thursday, as investors grappled with escalating trade tensions and rising oil prices.
  
",AAPL,
"Wall St. ends down slightly on trade, oil price concerns","NEW YORK (Reuters) - Wall Street ended a choppy trading session lower on Thursday, as investors grappled with escalating trade tensions and rising oil prices.
  
",AAPL,
Tesla seeks to dismiss securities fraud lawsuit: U.S. court document,SAN FRANCISCO (Reuters) - Tesla Inc on Friday asked a court to dismiss a securities fraud lawsuit by shareholders who said the electric vehicle maker gave false public statements about the progress of,TSLA,
Greenpeace activists gatecrash oil major Total's AGM,PARIS (Reuters) - Greenpeace activists disrupted Total's annual shareholders meeting in Paris on Friday in protest against the French oil major's quest to drill in the ecologically sensitive Amazon ba,AMZN,
Apple to debut phone-to-phone augmented reality: sources,"SAN FRANCISCO (Reuters) - Apple Inc  next week will debut tools to let two iPhone users share augmented reality while limiting the personal data sent to its servers, two people familiar with the matte",AAPL,
Google plans not to renew military deal protested by employees: source,"SAN FRANCISCO (Reuters) - Alphabet Inc's Google told employees on Friday that it would not renew a contract expiring next March to help the U.S. military analyze aerial drone imagery, a person familia",GOOGL,
Mormons grapple with race decades after ban on black leaders,Some black Mormons want an apology four decades after the church ended its ban on black people taking part in many important rituals,AAPL,
Senate panel to seek answers from Facebook about data access report,WASHINGTON (Reuters) - The chairman of the U.S. Senate Commerce Committee said on Monday he planned to ask Facebook Inc  about a New York Times report that the social media company allowed Apple Inc  ,FB,
Apple's WWDC 2018: New features include help managing screen time,"At Apple's annual developers conference, the company unveiled new technology including features that can help users cut down their screen time. CBS News' Chris Martinez reports.",AAPL,
UPDATE 1-U.S. senators demand answers from Facebook about user privacy data,"WASHINGTON, June 5 (Reuters) - The Republican chairman of
the U.S. Senate Commerce Committee and the top Democrat on the
panel on Tuesday demanded that Facebook Inc Chief
Executive Officer Mark Zucker",FB,
U.S. senators demand answers from Facebook after data sharing report,"WASHINGTON (Reuters) - The U.S. Senate Commerce Committee demanded that Facebook Inc's chief executive officer respond to a report that user data was shared with at least 60 device manufacturers, week",FB,
Ex-Cambridge Analytica boss admits getting Facebook data from researcher,"LONDON (Reuters) - The former head of Cambridge Analytica admitted on Wednesday his firm had received data from the researcher at the center of a scandal over Facebook users' personal details, contrad",FB,
Google to invest US$550m in China e-commerce site JD.com,"
    [SYDNEY] Google is investing us$550 million in cash in China's JD.com Inc. as part of a strategic alliance in online commerce.  ",GOOGL,
"Tesla hits Model 3 goal and is `real car company', Musk says","
    [SAN FRANCISCO] Tesla reached its milestone of building 5,000 Model 3 vehicles in the final week of the quarter and in the process became ""a real car company,"" Chief Executive Officer Elon Musk s",TSLA,
"Facebook Chief Security Officer departs, joins Standford University",Facebook's Chief Security Officer Alex Stamos on Thursday made it official to leave the social media platform and join Stanford University as a full-time teacher and researcher.,FB,
TiVo falls on report Amazon is developing live TV recording device,Amazon is known to scare investors and send stocks tumbling with news of a planned entrance into a new industry.,AMZN,
Apple Music races ahead of Spotify in US paid subscribers,"Apple Music has more subscribers than Spotify in the United States. It has been officially confirmed. US based portal, Digital Music News has revealed that Apple Music has surpassed Spotify in terms o",AAPL,
Amazon Said to Be Making Digital Video Recorder for Live TV,"The device, dubbed Frank inside Amazon, is a new type of digital video recorder for the streaming era and would include physical storage and connect to Fire TV boxes.",AMZN,
Google sports colourful Doodle on opening day of 18th Asiad,Google on Saturday featured a colourful Doodle to celebrate the start of the 18th Asian Games where athletes from 45 countries will compete in 55 events.,GOOGL,
Apple to ditch 'Time Travel' feature with watchOS 5,"Apple is saying goodbye to ""Time Travel"" -- one of Apple Watch's under-used features -- with watchOS 5 this fall.",AAPL,
Apple Watch's Time Travel Feature to Be Killed With watchOS 5,Apple Watch's Time Travel feature never got traction among users and remained only a darling of the developer community.,AAPL,
"TV Bits: Chris Evans Heads to Apple, ?Modern Family? Season 11, ?Lore? Season 2, Adam Sandler?s Stand-Up Special, and More",In this edition of TV bits: Chris Evans will star in an Apple TV show. Modern Family will probably get an eleventh season. Watch a creepy new trailer for Amazon?s Lore. Go behind-the-scenes of Netflix,AMZN,
"Top New York Stage This Week: Eagles, ?Girl From the North Country?","From The Eagles and Eric Clapton to the New York International Fringe Festival, there is plenty of choice among performing-arts shows in the Big Apple this week.New Yorkers can also catch previews for",AAPL,
Google pay tribute to engineer Elisa Leonida Zamfirescu with doodle,,GOOGL,
California bar massacre: Details emerge about gunman's past,"As residents in Thousand Oaks, California, grapple with the danger from a huge wildfire they're also still struggling with the deadly attack on a bar that left a dozen people and the gunman dead earli",AAPL,
"After Google, Facebook scraps forced arbitration in sexual harassment cases","The use of arbitration clauses, embedded in the fine print of contracts, has soared in the last decade, as corporations try to keep disputes away from public scrutiny",FB,
"Apple, Amazon strike deal to boost sales in India, other key markets","Apple-authorised resellers in India include the likes of Reliance Digital, Chroma and Sangeetha, which are largely offline sellers and see themselves as rivals of Amazon",AMZN,
Sheryl Sandberg: ?We absolutely did not pay anyone to create fake news?,Facebook COO refutes claims made against her in a scathing New York Times report,FB,
Apple partners with movie studio A24 to make feature-length films,"The tech giant plans multiple feature-length films, broadening its push into original content beyond TV programming",AAPL,
Canadian official suggests breaking up Facebook to company's vice president,Facebook Vice President of Policy Solutions Richard Allan answered questions from parliamentarians from nine countries at a hearing in the U.K. Tuesday. CEO Mark Zuckerberg declined the committee's re,FB,
Apple and Netflix Are Making Deals With Major Studios ? And Reshaping Hollywood,"In the wake of production company A24 (the company behind movies like Moonlight, Lady Bird, Hereditary, and Spring Breakers) teaming up with Apple to produce movies for the tech giant, Paramount Pictu",AAPL,
BritPlayer: Regulator Ofcom Calls For BBC To Lead The Charge To Create Netflix Rival,"Britain's top TV regulator Ofcom has urged broadcasters to join together to create a domestic SVOD service capable of taking on the likes of Netflix and Amazon.
CEO Sharon White called for the BBC to ",AMZN,
"Google Pixel 3 Referral Program Launched With Rs. 7,000 Instant Discount and Other Benefits","As part of this new Pixel 3 referral program, Google is offering Rs. 7,000 instant discount to the referee, and a Rs. 2,000 gift voucher to the referrer.",GOOGL,
Google Allo Is Shutting Down: Here's How to Save Your Chat History,"Allo users are advised to export their chat history, and look for an alternative app for everyday instant messaging.",GOOGL,
"Xbox Scarlett Planned for 2020 Release Date, Will Use AMD Zen 2 and Navi Tech: Report",Xbox Scarlett may have more in common with the PS5 than you think.,MSFT,
Did an Airline Block You on Social Media? You Are Not Alone,"Blocking accounts on Facebook or Twitter is common among social media users. But airlines do it, too.",FB,
2019 Elections: Facebook to Check Indian Political Ads in Build-Up to Vote,"Facebook said it would start verifying ads from Thursday and, from next year, show a disclaimer on all political ads giving more information on who placed them.",FB,
Facebook's Messenger Lite Adds Support for Animated GIFs and More,The lightweight messaging app is available in over 100 countries got video chat capabilities earlier this year.,FB,
Mark Zuckerberg Defends Facebook in New Data Breach Controversy,Facebook emails show executives holding discussions about big companies such as Netflix being granted preferential access to user data even after Facebook had tightened its privacy rules in 2014-15.,FB,
Amazon Targets Airports for Checkout-Free Store Expansion,"For months, the world's largest online retailer has been expanding Amazon Go, where customers scan their smartphones at a turnstile to enter.",AMZN,
"Amazon Kicks Off Apple Sale With Discounts On 2018 MacBook Air, iPhone X, and More","Amazon sale also has discounts on iPhone 6S, iPhone 6, as well as offers on iPhone XS, iPhone XS Max, iPhone 8, iPhone 8 Plus, and other iPhone models.",AMZN,
"Microsoft Unveils Facial Recognition Principles, Urges New Laws",Microsoft president Brad Smith made the announcement at a Brookings Institution speech and an accompanying blog post.,MSFT,
"Apple?s squid emoji has been anatomically incorrect for years, Monterey Bay Aquarium points out","If Apple can quickly change a bagel emoji, maybe it can get this fixed, too.",AAPL,
American Gods Season 2 Finally Gets a Release Date,"American Gods season 2 finally has a release date: it will premiere Sunday, March 10, 2019 on Starz in the US, and will be available on Amazon Prime Video in India.",AMZN,
Tesla Says European Model 3 Deliveries From February,The first to take delivery would be customers who had reserved their Model 3 starting March 2016.,TSLA,
Apple Watch Series 4 Gets ECG and New Infograph Complications With watchOS 5.1.2,"Apple announced the heart features in September, but didn't make them available until Thursday. The features are US-only for now.",AAPL,
Apple Products Are Getting More Expensive. Here's Why.,"Apple has never made cheap stuff. But this fall, many of its prices increased 20 percent or more.",AAPL,
"Google Assistant Will Now Offer Radio-Style, On-Demand News From Publishers",Google said it had partnerships with more than a dozen news organisations to deliver an audio feed in the same manner as its smartphone news feed.,GOOGL,
"Microsoft Confirms Edge Is Switching to Chromium, and Coming to Windows 7, Windows 8 as Well as macOS",A preview build of the Chromium engine-based Microsoft Edge is expected to debut early next year.,MSFT,
Google Moves to Curb Gender Bias in Google Translate,The move comes amid criticism that Google Translate often defaulted to masculine names when it converted text to another language.,GOOGL,
Google Searches Could Predict Heroin Overdoses,"Internet queries about opioids are linked to drug-related hospital admissions 

-- Read more on ScientificAmerican.com
        
",GOOGL,
"iOS 12.1.1, macOS Mojave 10.14.2 Updates Add Support for Real-Time Texts and More","Apple has released the latest software updates across its range of products, though watchOS update is missing.",AAPL,
"Facebook's Blockchain Team Wants to Disrupt Payments, but Ongoing Controversies Make Hiring Difficult: Report",Facebook is reportedly working on blockchain technology to create its own virtual currency but it's running into hiring issues.,FB,
Woman Slams Social Media Firms for Baby Ads After Stillbirth,"A woman whose child was stillborn has slammed the targeted advertising of Facebook, Twitter and Instagram after she kept getting baby-related sales pitches.",FB,
"Facebook considered selling users' data for $250,000 in 2012: Report",A failure on Facebook's part to adequately redact a public court document revealed this information,FB,
Facebook Kicks Myanmar Military-Linked Pages Off Platform,"Facebook - Myanmar's most popular and influential site - has been lambasted for years for its ineffective response to malicious posts, particularly against the country's Rohingya Muslims.",FB,
"Micromax Infinity N-Series Smartphone's India Launch Today, How to Watch Live Stream",Micromax is due to live stream the launch of its Infinity N smartphone on its Facebook page.,FB,
Zuckerberg Sees 'Progress' for Facebook After Tumultuous Year,"Capping a tumultuous year marked by data protection scandals and government probes, Zuckerberg said he was ""proud of the progress we've made"" in addressing Facebook's problems.",FB,
"Apple Hires Tesla's Former Senior Designer, Andrew Kim","Kim's hiring comes after Doug Field, Tesla's chief vehicle engineer, returned to Apple in August.",AAPL,
"As TikTok Videos Take Hold With Teens, Parents Scramble to Keep Up",The social network became the most downloaded on Apple's App Store in the first half of this year according to market analysis firm Sensor Tower.,AAPL,
"Qualcomm Says Apple Violating Chinese Court Order, Despite iOS 12.1.2 Update",Qualcomm said it believes Apple remains in violation of a Chinese court's orders to stop selling iPhones despite the iOS 12.1.2 software update that Apple pushed on Monday.,AAPL,
Google?s New Ad Recreates Iconic Home Alone Scenes With Macaulay Culkin and Google Assistant,"Google has released a new holiday-season ad for its series of products ? the Pixel 3 XL, the Home Hub, the Home Mini, and the Nest doorbell ? that brings back Macaulay Culkin as Kevin from Home Alone.",GOOGL,
GM's Cadillac will introduce electric vehicle in fight against Tesla,"Cadillac is expected to become General Motors Co's lead electric vehicle brand as the largest US automaker gears up to introduce a new model under that luxury marquee to challenge Tesla Inc, two people briefed on the matter said Thursday.",TSLA,
Apple Cuts First Quarter Production Plan for New iPhone Models by 10 Percent: Report,"Apple is cutting planned production for its three new iPhone models by about 10 percent for the March quarter, the Nikkei Asian Review reported.",AAPL,
Google Pulls 85 Fake Apps Downloaded 9 Million Times From Play Store Over Adware: Trend Micro,"These apps infected the victims' smartphones with ads, and the only way to get rid of them is to uninstall the app, or in some cases, flashing the phone.",GOOGL,
Xbox One-Exclusive Below Not Available in India,Below for the Xbox One is not available on the Microsoft Store for India.,MSFT,
China 2018 Smartphone Shipments Down Up to 15.5 Percent: Market Data,Apple triggered a selloff in global markets last week after it took the rare step of cutting its quarterly sales forecast citing slowing iPhone sales in China.,AAPL,
"Microsoft Hummingbird Launched, an AI-Powered News App for Android Users",Microsoft's Hummingbird app uses AI learning to curate stories and videos on topics you choose while setting up.,MSFT,
