date,title,description
1/12/19 2:04,"Amazon Prime Video Adds Localised Tamil, Telugu User Interfaces","Prime members can pick the Tamil or Telugu experience via the Prime Video app on Android or iOS, through the PrimeVideo.com, or directly from supported connected devices such as Smart TVs, Apple TV, and game consoles."
1/12/19 4:27,"Starbucks will be the next US brand to warn of China trouble after Apple, Goldman Sachs says","The firm downgrades the world's largest coffee seller to neutral from buy, citing ""a number of points of caution on China."""
1/12/19 4:27,Apple reportedly plans to launch three new iPhones this year ? including an XR successor,"Apple's highest-end model will be fitted with a triple rear camera while the lower-end models will have a double rear camera, The Wall Street Journal reports."
1/12/19 3:37,Apple demanded $1 billion for chance to win iPhone: Qualcomm CEO,"Qualcomm sought to become the sole supplier of modem chips for Apple's iPhone to recoup a $1-billion ""incentive payment"" that Apple insisted on, not to block rivals from the market, Qualcomm's chief executive testified on Friday.
  
"
1/12/19 4:33,Companies from Apple to Ford are flashing warning signs about the Chinese economy,"The trade war between the world's two largest economies is starting to slow their pace of growth, especially in China. The  tension is beginning to bleed into balance sheets across the U.S. ? in Detroit, on Fifth Avenue and Silicon Valley."
1/12/19 4:00,"Apple ?Will Announce New Services This Year,? Says Tim Cook",Tim Cook has revealed that the company plans to announce new services this year. The long-awaited Apple streaming service could be one of these.
1/12/19 2:06,"Telegram Brings Custom Language Support, Instant View 2.0 for Android and iOS Users","Telegram for iOS app update v5.1 brings better Apple Watch support, a new 'Read All' feature, and more than 400 minor improvements as well."
1/12/19 2:06,iPhone Sales Continue in China Despite Court-Ordered Ban,"Apple stores in China continued with business as usual Tuesday despite a court-ordered ban on iPhone sales, but Apple faces a growing nationalist backlash over the arrest of a Huawei executive."
1/12/19 2:07,Apple Pay May Be Investigated if There Are Formal Complaints: EU's Vestager,European Competition Commissioner Margrethe Vestager also signalled that Google and Amazon would remain very much on her radar until the end of her mandate late next year.
1/12/19 2:07,Qualcomm Says It Won Case Banning Sale of Older iPhones in China,"Apple said on Monday it had filed a request for reconsideration with the court, the first step in appealing the ban."
1/12/19 2:07,Apple Watch Series 4's New ECG Feature Helps Save a Life Within a Day of Launch,Apple Watch Series 4 got the new ECG app with the new watchOS 5.1.2 update rolled out just a day ago.
1/12/19 2:07,Apple Hires Ex-Mango Health CEO Jason Oberfest,"Apple has hired Jason Oberfest, former CEO of Mango Health, to reportedly help its users adhere to prescription instructions."
1/12/19 2:07,"Apple Releases Beddit Sleep Monitor 3.5, Makes Good on Last Year's Acquisition","The Beddit Sleep Monitor 3.5 is the latest in Beddit?s range, and is designed to automatically track your sleep and provide vital statistics helping you improve sleep quality."
1/12/19 3:51,"Amazon, Apple, Google to Be Slapped With New Digital Tax in France Next Year","The French government's ""GAFA"" tax"" is being introduced to combat attempts by the firms to avoid paying what is considered a ""fair share"" of taxes in the country."
1/12/19 4:06,The End of Upgrades? Apple's iPhone Problem Goes Beyond China.,"Apple extracts more money from frequent upgraders, but as product innovation slows, people are holding on to their iPhone for three years or longer."
1/12/19 4:06,Tim Cook Needs Better Ideas Than This for Apple,"Toward the end of Apple's stunning disclosure about its worse-than-expected sales, the company's boss suggested a tactic."
1/12/19 4:06,"Apple Dominates Smartwatch Market, but Its Share Drops Below 45 Percent: ABI Research","Apple is continuing to dominate the wearables market, but the company?s grip on the sector is loosening, revealed ABI Research in a report."
1/12/19 4:06,PCs have valuable lessons for the smartphone industry,"
    THE smartphone market is following the growth-challenged path of personal computers (PCs). That won't please executives at Samsung Electronics Co and Apple Inc, but their pain might be great news for consumers.  "
1/12/19 4:39,Apple Took Out a CES Ad to Troll Its Competitors Over Privacy,"In a world where privacy is on everyone's mind, Apple is saying to the technology industry that it stands alone.
       
"
1/12/19 4:12,PSA: Last Chance to Get Your iPhone Battery Replaced By Apple for Cheap,"Apple?s discounted battery replacement for iPhones is valid till December 31, 2018. After that you?ll have to pay full price."
1/12/19 4:33,Asia shares mostly lower as US futures point to further turmoil stateside,"Futures pointed to further volatility for the U.S. markets at Thursday's open after Wednesday's turbulent session, after Apple warned that its first quarter sales would come in lower than previously expected."
1/12/19 3:39,Apple to launch three iPhones with new camera features this year: WSJ,"Apple Inc plans to launch three iPhone models this year with some new camera features, including three rear cameras for the most expensive model and two for the other models, the Wall Street Journal reported on Friday.
  
"
1/12/19 3:39,China retailers slash iPhone prices after Apple sales warning,"Several Chinese electronics retailers including Alibaba-backed Suning  and JD.com  have slashed iPhone prices this week, after Apple  recently blamed poor sales of the smartphone in the country for a rare revenue warning.
  
"
1/12/19 2:18,"Amazon?s Apple Fest Sale Continues, Now With Special ICICI Bank Offer","Amazon Apple Fest sale is now offering instant discount to ICICI customers, in addition to deals on iPhone, 2018 MacBook Air, and more."
1/12/19 4:12,Businesses in China Are Apparently Threatening to Sack iPhone Users as Support Mounts for Huawei,"In a bid to show support for Huawei following the recent arrest of Huawei CFO in Canada, the businesses in China are asking staff to boycott Apple."
1/12/19 4:13,Apple Details Indian Government Requests for Customer Data,The Indian government has asked Apple to provide information for 27 devices and 18 accounts in the January-June 2018 period.
1/12/19 4:45,Greenland's residents grapple with global warming,"Nestled between icy peaks and lapped in frozen ocean waters, the tiny town of Tasiilaq in southeastern Greenland is home to some 2,000 people.
  
"
1/12/19 4:51,Fake Alexa Companion App Tops App Store Charts Before Apple Takes It Down,A fake app posing as the official companion app for Amazon Alexa smart speakers managed to top the App Store charts before it was taken down by Apple.
1/12/19 4:53,"Apple Elevates AI Chief John Giannandrea to Senior Vice President of ML, AI Strategy","Giannandrea, who joined Apple from Google in April, oversees the strategy for AI and ML across products and services, as well as the development of Core ML and Siri technologies."
1/12/19 5:04,Walter Lemon Jr. looks to make a difference with the Windy City Bulls,"Chicago?s got a streaking, sports team winner, and it?s not quite apples and oranges."
1/12/19 7:07,What the market turmoil means for 2019,"




AFTER A ROTTEN October and limp November, the S&P 500 tumbled in value by 15% between November 30th and December 24th. Despite an astonishing bounce of 5% the day after Christmas, the index finished the year 6% below where it started (see chart). The first trading day of 2019 extended the market wobble, with stocks closing down in Asia and gyrating in Europe. After markets closed in America, Apple warned that a sharp slowdown in China?s economy, and weak sales in other emerging markets, meant revenues in the fourth quarter would undershoot expectations by up to 10%. Coming a day after news that China?s manufacturing sector contracted in December, that spooked investors globally. S&P 500 futures dipped before Wall Street re-opened on January 3rd.
..."
1/13/19 2:01,"Apple AirPods can do a lot more than play music, here's how to get the most out of them",Here are some tips and tricks that will help you get the most out of Apple AirPods.
1/14/19 0:01,"Samsung to launch cheaper phones to lure millennials, fight Chinese rivals","As smartphone sales growth sputters in saturated Western markets, every smartphone maker from Apple Inc. to Samsung and Xiaomi are looking to India to boost their fortunes"
1/14/19 0:30,Apple Demanded $1 Billion for Chance to Win iPhone Contract: Qualcomm CEO,"Qualcomm sought to become the sole supplier of modem chips for Apple's iPhone to recoup a $1-billion ""incentive payment"" that Apple insisted on, Qualcomm's chief executive testified on Friday."
1/14/19 1:51,"Apple HomePod Smart Speaker to Go on Sale in China, Hong Kong on January 18","Apple has announced the availability of its smart speaker HomePod in mainland China and Hong Kong markets, starting January 18."
1/14/19 3:46,UPDATE 1-Apple-supplier Dialog Semi's Q4 sales at bottom of forecast range,"Chip designer Dialog
Semiconductor, which supplies iPhone maker Apple
, reported preliminary fourth-quarter sales at the low
end of its target range on Monday, sending its shares down more
than 3 percent.
  
"
1/14/19 4:46,Apple's famous walled garden is starting to show cracks,Apple will have to look beyond its tight ecosystem of hardware and software if it wants to grow its services business
1/14/19 5:16,"Apple AirPower Wireless Charging Mat Reportedly Enters Production, Could Launch Soon",Fresh reports suggest that Apple?s long-awaited Qi wireless charging mat ? Air Power ? has gone into production and could be announced soon.
1/14/19 5:31,China's exports plunge; Apple supplier hit; Detroit Auto Show,"Here's what you need to know about the markets before you start your business day.
    
"
1/14/19 8:00,UPDATE 2-Apple supplier Dialog Semi weathers iPhone slump to hit revenue target,"* Supplying chips to Apple accounts for 75 pct of Dialog
business
  
"
1/14/19 8:01,Apple supplier Dialog Semi weathers iPhone slump to hit revenue target,"Chip designer Dialog Semiconductor said on Monday that it managed to hit its fourth-quarter revenue guidance despite a slump in iPhone sales at its main customer Apple.
  
"
1/14/19 8:16,"Stocks making the biggest moves premarket: GG, LULU, AAPL, PCG & more",Names on the move ahead of the open.
1/14/19 9:46,"Apple's services revenue growth is slowing down, RBC says",RBC Capital Markets estimates Apple's services revenue has slowed to 18 percent year over year growth in the December quarter.
1/14/19 10:45,Venezuela's Maduro to announce economic measures as new term starts,"Venezuelan President Nicolas Maduro was set to announce new economic measures on Monday after starting a disputed second term in office last week, although economists expect few major changes as the country grapples with a devastating economic crisis.
  
"
1/15/19 22:15,"Verizon deepens ties with Apple, offers free Apple Music to some U.S. customers","Verizon Communications Inc  said on Tuesday it will include free Apple Music subscriptions in some of its top-tier U.S. data plans, deepening its ties with the iPhone maker.
  
"
1/15/19 22:15,Sofia Coppola and Bill Murray Reteam for A24 & Apple?s First Film Collaboration ?On the Rocks?,"Late last year, A24 and Apple confirmed rumors that they would be teaming together for multiple original films exclusive to the tech giant?s forthcoming streaming service. They?ve now announced the first film in the lineup and it?s a mightily enticing one. Sofia Coppola is set to reteam with her Lost in Translation star Bill Murray [?]"
1/15/19 22:15,Apple loses bid to undo $440 million judgment in VirnetX patent case,"A U.S. appeals court on Tuesday upheld a judgment worth $440 million that was won by intellectual property licensing firm VirnetX Inc against Apple Inc in a patent infringement case.
  
"
1/15/19 22:16,German court throws out Qualcomm's latest patent case against Apple,"A patent lawsuit filed by Qualcomm Inc against Apple Inc was thrown out by a German court on Tuesday, in a reversal for the U.S. chipmaker after it won a recent court ban on the sale of some iPhones in the country.
  
"
1/15/19 22:16,TD Ameritrade taps Apple Pay for instant fund transfers to accounts,"Brokerage firm TD Ameritrade Holding Corp is tapping Apple Inc to help solve a problem that has lingered for decades: how to get money into a brokerage account and make it available to trade with on the same day.
  
"
1/15/19 22:16,Qualcomm's Latest Patent Case Against Apple Thrown Out by German Court,"A patent lawsuit filed by Qualcomm against Apple was thrown out by a German court on Tuesday, in a reversal for the US chipmaker."
1/15/19 22:17,"Apple Replaced 11 Million iPhone Batteries Under $29 Replacement Programme in 2018, Up From an Average of 1-2 Million: Report",Apple kicked off its $29 battery replacement programme in late December 2017 to compensate the slowing down of old iPhone models.
1/15/19 22:17,Apple Claims Qualcomm Refused to Sell Modems for 2018 iPhone Models,"As per Apple COO Jeff Williams's testimony in court during the FTC trial against Qualcomm, the latter refused to sell its 4G LTE modems to Apple because of the companies' licensing dispute."
1/15/19 22:17,"2019 iPhone May Use USB Type-C Port Instead of Lightning, 7th Gen iPod touch Likely to Be in Works: Report",Apple launched the sixth-generation iPod touch back in July 2015.
1/15/19 22:24,"iPhone Price Cuts on the Way, Suggests Analyst, Along With a Major Acquisition for Streaming Service",A Wedbush analyst claims that Apple is expected to announce significant price cuts for the iPhone XR in China in the coming months.
1/15/19 22:31,"First Apple Original Movie Will Be a Sofia Coppola A24 Film Starring Bill Murray, Rashida Jones","Sixteen years have passed since Sofia Coppola and Bill Murray got lost in the neon-lit streets of Tokyo, but now the director and her Lost in Translation star are reuniting for Apple?s first original film. Coppola will be directing Murray and Rashida Jones in On the Rocks, a father-daughter drama that will mark the first project under the pact [?]
The post First Apple Original Movie Will Be a Sofia Coppola A24 Film Starring Bill Murray, Rashida Jones appeared first on /Film."
1/15/19 22:33,"Apple should buy private digital health records operation Epic Systems, says Jim Cramer",Jim Cramer says the move would boost Apple's stock price and give the company a surefire way to solidify its place in the health-care arena.
1/15/19 22:33,"Cramer: Netflix's price bump means Amazon, Apple's stocks are bargains",Jim Cramer explains what Netflix's subscription price increase means for other service providers.
